,Stages,Orders,Inst,WIP,GA_Err,GA_Time,SA_Err,SA_Time,TS_Err,TS_Time,PSO_Err,PSO_Time,LS_Err,LS_Time,GA_TF_Percent,SA_TF_Percent,TS_TF_Percent,PSO_TF_Percent,LS_TF_Percent,GA_TF_avg,SA_TF_avg,TS_TF_avg,PSO_TF_avg,LS_TF_avg
S_3-Ord_10-I_0-WIP_0,3,10,0,0,0.0,40.4286,1.1442006269592477,120.079,1.348314606741573,76.874,3.121373009013458,73.7388,2.92651427095441,78.03600000000002,25.25,36.174,26.752,19.82,5.518,10.1608,43.419000000000004,20.648,14.707400000000002,4.306
S_6-Ord_10-I_0-WIP_0,6,10,0,0,0.40609137055837563,61.2856,0.20304568527918782,175.8682,0.20304568527918782,110.0,3.722944650525247,104.6818,1.4774625163467507,113.046,34.372,76.534,40.846,24.66,6.596000000000001,21.2514,134.619,44.898,25.8654,7.458
S_9-Ord_10-I_0-WIP_0,9,10,0,0,1.3972529392185928,84.803,1.390964396537645,234.5306,0.765964396537645,147.178,5.846772774812285,135.8472,2.747378071086717,151.0576,39.298,59.94000000000001,50.672000000000004,17.408,2.5780000000000003,33.2302,140.33980000000003,74.53999999999999,23.639799999999997,3.8940000000000006
S_3-Ord_10-I_1-WIP_0,3,10,1,0,0.0,38.946400000000004,0.0,117.377,0.0,78.404,0.7272727272727273,72.44160000000001,0.0,77.02520000000001,4.5200000000000005,1.2850000000000001,3.235,2.414,2.995,1.7604,1.5065,2.56,1.749,2.3049999999999997
S_6-Ord_10-I_1-WIP_0,6,10,1,0,1.2379812094150129,64.4632,2.320885509838998,175.302,0.6225965940303974,110.01399999999998,10.16577332831292,103.5296,5.385462165435223,113.0442,51.3,78.23400000000001,49.912,60.426,5.964,33.1854,137.15660000000003,54.94200000000001,62.560399999999994,6.742
S_9-Ord_10-I_1-WIP_0,9,10,1,0,0.36951698242020814,84.19399999999999,0.2777777777777778,236.3394,0.09259259259259259,143.878,0.6455997281685354,134.3808,0.8274063786657688,150.0668,18.216,63.702,36.538000000000004,23.302,2.38,15.3442,150.8322,52.69199999999999,31.348200000000002,3.5740000000000003
S_3-Ord_10-I_2-WIP_0,3,10,2,0,0.28169014084507044,44.0108,1.9561815336463222,121.45720000000001,0.28169014084507044,80.55199999999999,5.394207721717082,75.2006,5.623087398862453,80.0398,53.34400000000001,78.112,34.046,52.086,1.8639999999999997,23.4338,94.8716,27.356,39.119600000000005,1.494
S_6-Ord_10-I_2-WIP_0,6,10,2,0,0.5128205128205128,61.233999999999995,0.0,176.6304,0.0,109.772,0.0,103.61779999999999,3.3041516829523077,113.05700000000002,14.612,56.727999999999994,11.584,8.870000000000001,2.338,9.2374,100.21979999999999,12.758,9.191999999999998,2.6439999999999997
S_9-Ord_10-I_2-WIP_0,9,10,2,0,0.09302325581395349,84.30619999999999,0.0,236.71040000000002,0.27906976744186046,144.232,0.4651162790697675,135.86040000000003,0.4651162790697675,150.0936,10.248000000000001,58.246,28.129999999999995,6.276,3.258,8.6152,137.8914,39.858,8.504,4.892
S_3-Ord_30-I_0-WIP_0,3,30,0,0,0.22900763358778625,83.4668,0.0,225.35520000000002,0.0,158.784,0.5314552367784307,128.74179999999998,0.0,149.0694,28.094,44.239999999999995,12.725999999999999,14.145999999999997,11.266,23.8998,99.9364,20.164,18.2656,16.798
S_6-Ord_30-I_0-WIP_0,6,30,0,0,0.6889248090964829,140.8448,0.6917287719201752,370.3866,0.0,254.592,2.587058358142496,205.13379999999998,1.4182726023170356,243.06799999999998,16.273999999999997,70.518,58.52,18.392000000000003,43.838,22.7644,261.20099999999996,149.222,37.715199999999996,106.546
S_9-Ord_30-I_0-WIP_0,9,30,0,0,1.2300960553215845,208.4806,1.3245501657497685,525.049,0.5406681190994916,355.22400000000005,4.088026376543377,286.3612,1.0818138326589986,344.1184,38.967999999999996,69.50399999999999,44.248,25.37,60.762,81.7482,364.8456,157.072,72.3698,209.06799999999998
S_3-Ord_30-I_1-WIP_0,3,30,1,0,0.22930010821561225,80.8554,0.0,222.44039999999995,0.15267175572519082,159.92000000000002,0.1532567049808429,128.72959999999998,0.22930010821561225,148.0446,9.762,48.846000000000004,54.45399999999999,14.088,30.395999999999997,7.8096000000000005,108.55460000000001,87.1,18.099200000000003,45.004
S_6-Ord_30-I_1-WIP_0,6,30,1,0,0.18779342723004694,153.92379999999997,0.6093390946773537,374.563,1.063910924037199,257.654,1.7514021984823684,219.37600000000003,1.5753781950965045,251.11239999999998,40.816,44.02199999999999,28.966,31.104000000000003,21.916000000000004,62.2996,164.95340000000002,74.55799999999999,68.2026,55.034000000000006
S_9-Ord_30-I_1-WIP_0,9,30,1,0,0.7099783725301629,273.60600000000005,0.6043505578354884,548.3535999999999,0.5688902397710255,367.23600000000005,1.33392676483793,333.8734,0.5330493100636524,381.1072,26.177999999999997,74.664,41.684,8.148,19.468,76.8322,409.86499999999995,152.93400000000003,27.301800000000004,74.186
S_3-Ord_30-I_2-WIP_0,3,30,2,0,1.219159713434228,169.78799999999995,1.3284292039191883,221.0106,0.5549553998580203,158.15,2.8137440708450727,128.17379999999997,1.3272284402874852,169.0728,44.648,74.76599999999999,48.872,65.39,25.514000000000003,76.4952,165.26340000000002,77.188,83.91400000000002,43.138
S_6-Ord_30-I_2-WIP_0,6,30,2,0,0.35654895067646747,192.8142,0.4897837434750185,370.6432,0.31121494863514837,254.948,2.3496091723610584,205.0012,0.3537935019334193,256.1086,40.594,58.98199999999999,33.77,54.00600000000001,36.29,70.5086,218.719,85.98400000000001,110.4402,92.94800000000001
S_9-Ord_30-I_2-WIP_0,9,30,2,0,3.2512048425478133,254.15260000000004,3.561100553932609,536.5164000000001,1.2110701841712295,632.9680000000001,5.608360123757953,298.19399999999996,2.2354329615402415,430.0778,46.158,86.902,68.13399999999999,64.218,43.776,119.26939999999999,466.4456,473.63,191.8708,188.26999999999998
S_3-Ord_50-I_0-WIP_0,3,50,0,0,0.20605356994775686,232.88139999999999,0.36022844757784567,352.54679999999996,0.2830748818309976,367.86199999999997,0.6898701687672855,196.9024,0.12903225806451613,288.11019999999996,8.04,58.92999999999999,31.542,27.196000000000005,32.988,18.9364,207.373,128.29000000000002,53.184400000000004,95.038
S_6-Ord_50-I_0-WIP_0,6,50,0,0,1.5644395963938025,2339.5682,2.1966834906252677,773.1406,1.2376880817371387,484.7200000000001,6.642758402452071,437.5188,1.2132309061246638,1009.1922000000001,69.672,93.872,65.124,74.06199999999998,29.776,1679.4080000000001,725.8106,314.62199999999996,324.082,300.462
S_9-Ord_50-I_0-WIP_0,9,50,0,0,2.1131226372574385,1197.2354,2.398094943440989,1007.3422,1.5541215451634378,656.7059999999999,3.8782645909612983,574.8394000000001,2.111508115484206,859.3366,62.592000000000006,91.26599999999999,81.154,67.338,25.273999999999997,786.5242,919.3038,532.694,387.94100000000003,217.19400000000002
S_3-Ord_50-I_1-WIP_0,3,50,1,0,0.8547968262879134,144.615,1.105055466821078,422.48,0.5055658232218087,268.246,2.02474963213945,237.08679999999998,0.5053088033670249,268.1132,20.228,83.02,69.554,63.324,58.989999999999995,28.9488,350.7866,187.042,149.4516,158.16000000000003
S_6-Ord_50-I_1-WIP_0,6,50,1,0,0.5263157894736842,228.8204,1.2188024237622666,613.4504,0.6680942834578701,411.59399999999994,1.7383328587183258,328.9322,1.5024665503886143,396.177,28.4,93.266,81.21,20.442,44.72,66.2864,571.7326,334.444,67.2744,177.182
S_9-Ord_50-I_1-WIP_0,9,50,1,0,1.1711780789672286,326.7136,1.203162137803305,872.8288,1.079908730794338,583.654,3.2116624716503623,489.07720000000006,1.1969906429198414,568.2529999999999,28.052000000000003,81.95000000000002,84.496,67.196,58.646,91.47920000000002,715.191,493.34,329.42999999999995,333.244
S_3-Ord_50-I_2-WIP_0,3,50,2,0,0.5412335412335413,118.553,0.0,341.6196,0.5205522760267286,240.606,0.145985401459854,203.96259999999998,0.4158004158004158,226.102,6.127999999999999,48.666,18.436,9.111999999999998,25.060000000000002,7.445399999999999,166.2914,44.372,18.578599999999998,56.660000000000004
S_6-Ord_50-I_2-WIP_0,6,50,2,0,0.7634601792051509,231.2032,1.1731167808450813,601.6324,1.262772130160198,405.716,1.9219973597707027,347.09079999999994,0.720119336391486,396.18240000000003,25.75,83.43599999999999,55.61800000000001,44.736000000000004,55.45399999999999,60.25160000000001,502.0054,225.51799999999997,155.4126,219.68200000000002
S_9-Ord_50-I_2-WIP_0,9,50,2,0,2.898115456247298,356.306,3.312752327835267,888.037,0.7648716296955601,586.792,4.538291640347985,511.0404,2.018085422770783,586.1004,53.306,94.618,74.672,79.19,55.907999999999994,191.9538,840.2998,437.448,404.7076,327.684
S_3-Ord_100-I_0-WIP_0,3,100,0,0,0.7614693354759454,1079.3552,1.1532767024916148,744.3374,0.7100825963350176,468.63,2.1154192501330304,452.38199999999995,0.7364993112476246,686.1496,74.126,87.108,76.88199999999999,73.974,64.78599999999999,796.1687999999999,649.1661999999999,361.67599999999993,335.04599999999994,444.524
S_6-Ord_100-I_0-WIP_0,6,100,0,0,0.36606792722596776,447.6942,0.7082085469397581,1234.1510000000003,0.46903010751860374,831.3060000000002,0.3315875965326617,723.1654000000001,0.46903010751860374,809.3024,17.706,50.532,49.974000000000004,25.284,38.245999999999995,81.381,623.9834000000001,415.08000000000004,182.69419999999997,309.51
S_9-Ord_100-I_0-WIP_0,9,100,0,0,0.7756299785482665,946.4498,1.0483484438326314,2175.8545999999997,0.42159484833050076,1444.772,0.9928212108621624,1318.9748,0.9314499630769759,1472.479,54.164,75.902,46.592,46.394,55.54,531.6283999999999,1653.0228000000002,672.612,611.067,817.73
S_3-Ord_100-I_1-WIP_0,3,100,1,0,0.4361228696786775,978.5071999999998,0.39030494317110326,762.7227999999999,0.4826266545257796,474.434,2.0772715005817526,462.01020000000005,0.3216816318087614,669.2118,71.042,76.826,55.016000000000005,67.67,47.666000000000004,674.6462,584.7366,260.76599999999996,312.2614,319.01800000000003
S_6-Ord_100-I_1-WIP_0,6,100,1,0,1.2871381811961145,596.1396000000001,2.5852103689370622,1406.9452,1.6416256894946997,897.0040000000001,3.905955128986895,829.8014000000001,2.2419814829953664,932.3546,55.896,80.356,73.374,51.274,43.51800000000001,331.684,1131.2738000000002,657.8100000000001,424.0674,405.746
S_9-Ord_100-I_1-WIP_0,9,100,1,0,1.599415731611646,759.9534,1.9771243454084506,2047.1014,0.8368438357446314,1338.466,2.3089612811283473,1183.4012000000002,0.9858945859223974,1332.5441999999998,49.226,75.286,83.27000000000001,50.608,79.86,371.40299999999996,1539.9942,1115.872,600.5054,1064.1860000000001
S_3-Ord_100-I_2-WIP_0,3,100,2,0,0.5782366060135817,444.56839999999994,0.9501984674758253,745.3102000000001,0.37542741627257675,472.59399999999994,3.0851068861975053,448.18799999999993,0.6806245139974433,528.1773999999999,53.366,89.162,53.18399999999999,53.122,38.17399999999999,240.36939999999998,664.9978,252.792,237.628,201.62600000000003
S_6-Ord_100-I_2-WIP_0,6,100,2,0,0.8183672045809555,1160.1448,0.9216400755496507,1696.6038,0.17296974600061227,1168.326,6.637767230078039,1036.806,0.2657631297106055,1265.381,90.174,99.194,79.082,76.20599999999999,60.224000000000004,1046.2725999999998,1682.9546000000003,925.9620000000001,789.8399999999999,762.096
S_9-Ord_100-I_2-WIP_0,9,100,2,0,0.8641551604667624,1703.1506000000002,0.8380436963721051,2533.1022,0.7836921557606294,1690.2779999999998,3.9500481891881796,1520.3508000000002,0.4334009542731563,1862.3586,77.352,95.334,65.974,78.172,73.80199999999999,1327.9604,2414.9454,1112.046,1183.9442000000001,1374.386
S_3-Ord_150-I_0-WIP_0,3,150,0,0,0.2578610533674316,644.1466,0.6609887200514194,1096.8669999999997,0.2763622522043047,687.8880000000001,0.9674826740087589,613.4728000000001,0.44154910566180783,761.2099999999999,29.119999999999997,73.42,61.47399999999999,51.988,62.17399999999999,195.57520000000002,807.4884,422.07399999999996,318.5482,473.258
S_6-Ord_150-I_0-WIP_0,6,150,0,0,0.24958853693611074,756.8022,0.3264254638543331,2685.1412,0.3266978002767918,1852.4779999999998,0.913267924512077,1525.4844,0.23250269484146405,1705.5567999999998,13.088,76.176,58.824,45.324,62.267999999999994,99.66999999999999,2044.5485999999996,1088.014,693.2534,1062.022
S_9-Ord_150-I_0-WIP_0,9,150,0,0,1.7626163306944806,2432.765,2.758883254675536,3569.8472,1.3304567839341785,2395.902,6.273727907695224,2015.634,0.829760038900119,2604.548,72.458,95.41400000000002,94.90799999999999,70.274,85.24600000000001,1767.926,3406.2261999999996,2274.216,1416.5572,2220.24
S_3-Ord_150-I_1-WIP_0,3,150,1,0,0.8433654663689779,716.5202,0.7341294190577861,1097.0967999999998,0.886060782209794,692.7239999999999,1.6521091011736782,615.8104,0.4462323838051329,781.2058,66.514,85.844,57.410000000000004,51.54600000000001,59.114,514.6958,941.7531999999999,398.14,316.7802,461.82
S_6-Ord_150-I_1-WIP_0,6,150,1,0,0.19386339196819713,761.7698,0.5515151627795551,2379.7147999999997,0.43230778882209125,1610.6979999999999,0.9431916262087208,1310.5924,0.42302397939799763,1516.3268,37.692,71.07499999999999,52.403999999999996,70.704,72.506,289.11139999999995,1690.4607500000002,843.492,925.6811999999998,1099.4519999999998
S_9-Ord_150-I_1-WIP_0,9,150,1,0,0.6142829650740592,1853.0592000000001,0.568895921306934,3899.5774000000006,0.4257797848082835,2586.7059999999997,0.8379028524927182,2228.3054,0.45239628516993957,2643.0276,52.116,76.792,78.97200000000001,48.766000000000005,68.75,1059.5206,2993.2282000000005,2042.8580000000002,1088.3974000000003,1817.114
S_3-Ord_150-I_2-WIP_0,3,150,2,0,0.4646342171396248,425.9406,0.5987598264699548,944.6163999999999,0.40497870414388687,623.492,0.3442703508573254,507.2972,0.4947755904672496,625.1882,18.612,47.052,82.42,34.508,57.092,78.17060000000001,444.59799999999996,513.78,174.97359999999998,356.944
S_6-Ord_150-I_2-WIP_0,6,150,2,0,1.266513645804588,2000.4587999999999,1.7632740523762611,2431.4564,0.6763586617539656,1632.498,7.249687839996535,1354.8666,0.903710740666172,1855.657,90.03599999999999,95.322,94.53999999999999,68.248,74.276,1804.4668000000001,2317.7708,1543.014,925.3421999999998,1378.2720000000002
S_9-Ord_150-I_2-WIP_0,9,150,2,0,0.46387435646116043,3192.5104,0.9926357604683875,3539.7118,0.42790451235178145,2297.1940000000004,2.175260485673051,1921.3740000000003,0.6767944204329119,2738.6663999999996,65.498,94.006,84.53999999999999,84.368,72.92,2103.0328,3327.3418000000006,1940.6799999999998,1620.9178,1997.0700000000002
